test_name,test_tag,user_firstname,user_lastname,user_email,password,client_id,client_secret,image_url,message
blank_client_id,"\"\"","\"test\"","\"test\"","\"test_unique@gmail.com\"","\"Test123!\"","\"\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",This client is not authorized to perform that action.
blank_client_secret,"\"\"","\"test\"","\"test\"","\"test_unique@gmail.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"\"","\"https://static.thenounproject.com/a.html\"",This client is not authorized to perform that action.
blank_first_name,"\"\"","\"\"","\"test\"","\"test_unique@gmail.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",First name can't be blank
blank_last_name,"\"\"","\"test\"","\"\"","\"test_unique@gmail.com\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Last name can't be blank
first_name_one_char,random_email,"\"a\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
last_name_one_char,random_email,"\"test\"","\"a\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
invalid_image_url,random_email,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"a\"",Success
blank_image_url,random_email,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"\"",Success
client_id_field_value_null,missing_field_value,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"",,"\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_secret_field_value_null,missing_field_value,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"",,"\"https://static.thenounproject.com/a.html\"",Success
client_firstname_field_value_null,missing_field_value,,"\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_lastname_field_value_null,missing_field_value,"\"test\"",,"\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_password_field_value_null,missing_field_value,"\"test\"","\"test\"","\"will be generated dynamically\"",,"\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_email_field_value_null,missing_field_value,"\"test\"","\"test\"",,"\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_imageurl_missing,missing_field_value,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",,Success
client_firstname_as_non_string,random_email,254,"\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_lastname_as_non_string,random_email,"\"test\"",254,"\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_password_as_non_string,random_email,"\"test\"","\"test\"","\"will be generated dynamically\"",254254254,"\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"","\"https://static.thenounproject.com/a.html\"",Success
client_imageurl_missing,random_email,"\"test\"","\"test\"","\"will be generated dynamically\"","\"Test123!\"","\"277ef29692f9a70d511415dc60592daf4cf2c6f6552d3e1b769924b2f2e2e6fe\"","\"d6106f26e8ff5b749a606a1fba557f44eb3dca8f48596847770beb9b643ea352\"",254,Success
